scope,dataset,track,point,method,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,train_items_per_second,predict_items_per_second
main,HLCA_Core,cpu_core,build_100000_eval10k,atlasmtl,33.7811,0.096,5.105,6.1415,0.0,0.0,26642.1122,104145.4384
main,HLCA_Core,cpu_core,build_100000_eval10k,reference_knn,1.2571,18.9635,3.7593,3.7593,0.0,0.0,79547.255,527.3275
main,HLCA_Core,cpu_core,build_100000_eval10k,celltypist,0.0013,0.3835,1.0178,1.3257,0.0,0.0,761.5466,26074.157
main,HLCA_Core,cpu_core,build_100000_eval10k,singler,1617.0424,1617.0424,3.6944,3.6944,0.0,0.0,6.1841,6.1841
main,HLCA_Core,cpu_core,build_100000_eval10k,symphony,66.6747,66.6747,6.7826,6.7826,0.0,0.0,149.982,149.982
main,HLCA_Core,gpu,build_100000_eval10k,atlasmtl,8.416,0.1137,5.5698,6.8051,0.0846,0.045,74856.9782,87938.5314
main,HLCA_Core,gpu,build_100000_eval10k,scanvi,312.5644,14.1732,3.6601,3.6616,0.1833,0.1466,319.9341,705.5593
supplementary,HLCA_Core,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,2875.5327,2875.5327,13.7195,13.7195,0.0,0.0,3.4776,3.4776
main,HLCA_Core,cpu_core,predict_100000_10000,atlasmtl,36.6427,0.1272,5.1077,5.2427,0.0,0.0,27017.6866,78624.7938
main,HLCA_Core,cpu_core,predict_100000_10000,reference_knn,1.195,19.0198,3.7587,3.7587,0.0,0.0,83679.3807,525.7689
main,HLCA_Core,cpu_core,predict_100000_10000,celltypist,0.0013,0.3823,1.017,1.325,0.0,0.0,788.1617,26159.7688
main,HLCA_Core,cpu_core,predict_100000_10000,singler,1605.8268,1605.8268,3.6936,3.6936,0.0,0.0,6.2273,6.2273
main,HLCA_Core,cpu_core,predict_100000_10000,symphony,65.5489,65.5489,6.7813,6.7813,0.0,0.0,152.5579,152.5579
main,HLCA_Core,gpu,predict_100000_10000,atlasmtl,7.9905,0.0574,5.5612,6.757,0.0849,0.0444,78843.7837,174263.367
main,HLCA_Core,gpu,predict_100000_10000,scanvi,300.1961,14.6619,3.6706,3.6721,0.1808,0.1536,333.1156,682.0391
