dataset,stage,track,point,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,accuracy,macro_f1,balanced_accuracy,optimizer_name,weight_decay,scheduler_name,epochs_completed,last_train_loss,last_val_loss,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,device_used,num_threads_used,early_stopping_note
PHMap_Lung_Full_v43_light,stage_a,cpu_core,build_100000_eval10k,adamw_bestwd_plateau,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_bestwd_plateau/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_bestwd_plateau/runs/atlasmtl/stderr.log,True,success,0.59,0.6334825355212351,0.6505287471197104,adamw,5e-05,reduce_lr_on_plateau,11,0.292289,0.53569,37.0064,0.1192,5.3626,5.4522,0.0,0.0,cpu,10,scheduler_without_reduction_visible
PHMap_Lung_Full_v43_light,stage_a,cpu_core,build_100000_eval10k,adamw_wd_1e4,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_1e4/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_1e4/runs/atlasmtl/stderr.log,True,success,0.5895,0.640711954078169,0.6531064511255735,adamw,0.0001,,11,0.294626,0.53621,38.3324,0.1199,5.3641,5.4955,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,build_100000_eval10k,adamw_wd_1e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_1e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_1e5/runs/atlasmtl/stderr.log,True,success,0.588,0.6251512551210676,0.6353410856004867,adamw,1e-05,,10,0.314856,0.512758,34.4892,0.099,5.3664,5.9473,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,build_100000_eval10k,adamw_wd_5e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_5e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/adamw_wd_5e5/runs/atlasmtl/stderr.log,True,success,0.5894,0.6472715010061646,0.6649278731633623,adamw,5e-05,,12,0.264741,0.552184,41.042,0.129,5.3671,6.444,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,True,success,0.5899,0.6429942474409123,0.6626442297563773,adam,0.0,,12,0.270196,0.549144,39.9643,0.1193,5.363,5.4953,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,predict_100000_10000,adamw_bestwd_plateau,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_bestwd_plateau/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_bestwd_plateau/runs/atlasmtl/stderr.log,True,success,0.5731,0.6400349630520588,0.6575545781099281,adamw,5e-05,reduce_lr_on_plateau,10,0.314968,0.51837,33.9818,0.1068,5.3697,5.549,0.0,0.0,cpu,10,scheduler_without_reduction_visible
PHMap_Lung_Full_v43_light,stage_a,cpu_core,predict_100000_10000,adamw_wd_1e4,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stderr.log,True,success,0.5796,0.635325047564163,0.6618500020028649,adamw,0.0001,,11,0.292638,0.538475,37.5563,0.0912,5.3665,6.2375,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,predict_100000_10000,adamw_wd_1e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stderr.log,True,success,0.5762,0.6484276026106781,0.6716077707249224,adamw,1e-05,,11,0.293169,0.538924,37.4236,0.1194,5.3637,5.4933,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,predict_100000_10000,adamw_wd_5e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stderr.log,True,success,0.5773,0.6512831124298163,0.6724906865862555,adamw,5e-05,,10,0.311535,0.517146,36.1334,0.0961,5.367,6.3769,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_a,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_a/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.5813,0.6519213736431357,0.6743911586432003,adam,0.0,,11,0.287355,0.534693,37.0185,0.0956,5.361,6.3977,0.0,0.0,cpu,10,stopped_early
