dataset,stage,track,point,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,accuracy,macro_f1,balanced_accuracy,optimizer_name,weight_decay,scheduler_name,epochs_completed,last_train_loss,last_val_loss,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,device_used,num_threads_used,early_stopping_note
DISCO_hPBMCs,stage_b,cpu_core,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,True,success,0.893,0.818681963382616,0.8059901385088025,adam,0.0,,12,0.138687,0.331639,40.1394,0.0959,5.2458,6.306,0.0,0.0,cpu,10,stopped_early
DISCO_hPBMCs,stage_b,cpu_core,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,True,success,0.8865,0.790598893666178,0.782792478432385,adamw,5e-05,,9,0.180118,0.308824,30.4356,0.1305,5.2412,6.0026,0.0,0.0,cpu,10,stopped_early
DISCO_hPBMCs,stage_b,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.8871,0.7953884575512543,0.7863486011126368,adam,0.0,,9,0.182084,0.307379,29.8993,0.1246,5.2403,5.435,0.0,0.0,cpu,10,stopped_early
DISCO_hPBMCs,stage_b,cpu_core,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,True,success,0.8906,0.8042152620280115,0.795133669412963,adamw,5e-05,,10,0.166327,0.313109,34.4684,0.0958,5.2381,6.305,0.0,0.0,cpu,10,stopped_early
DISCO_hPBMCs,stage_b,gpu,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,False,success,0.8899,0.7903518018984501,0.7798533889416029,adam,0.0,,8,0.071781,0.421665,9.4917,0.0548,5.7283,6.4584,0.0851,0.0446,cuda,10,stopped_early
DISCO_hPBMCs,stage_b,gpu,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,False,success,0.8882,0.8248497954095368,0.808699452193455,adamw,5e-05,,7,0.101795,0.375806,8.2312,0.0548,5.7217,6.459,0.0922,0.0443,cuda,10,stopped_early
DISCO_hPBMCs,stage_b,gpu,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,False,success,0.8871,0.8040383096795946,0.7912988052703606,adam,0.0,,7,0.099837,0.383887,8.2909,0.0553,5.7139,6.4968,0.0851,0.0443,cuda,10,stopped_early
DISCO_hPBMCs,stage_b,gpu,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/DISCO_hPBMCs/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,False,success,0.8865,0.8459332383624455,0.8306664764311442,adamw,5e-05,,8,0.068993,0.428851,9.6851,0.0552,5.706,6.4862,0.0922,0.0446,cuda,10,stopped_early
HLCA_Core,stage_b,cpu_core,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,True,success,0.8744,0.7816431120399382,0.7675513891591631,adam,0.0,,11,0.064392,0.24296,37.2105,0.1167,5.1073,5.2392,0.0,0.0,cpu,10,stopped_early
HLCA_Core,stage_b,cpu_core,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,True,success,0.8718,0.758764845903748,0.7367440478566886,adamw,5e-05,,10,0.075218,0.239599,34.1194,0.1244,5.1095,5.2421,0.0,0.0,cpu,10,stopped_early
