dataset,track,point,scope,display_policy,notes,old_accuracy,old_macro_f1,old_balanced_accuracy,old_risk,old_train_elapsed_seconds,old_predict_elapsed_seconds,old_train_process_peak_rss_gb,old_predict_process_peak_rss_gb,old_train_gpu_peak_memory_gb,old_predict_gpu_peak_memory_gb,baseline_snapshot_source,resource_snapshot_source,scope_map_source
DISCO_hPBMCs,cpu_core,build_100000_eval10k,main,headline,,0.8889,0.7826898164454636,0.7774997487371368,0.107261223260018,27.1112,0.1161,5.2408,5.5647,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
DISCO_hPBMCs,cpu_core,predict_100000_10000,main,headline,,0.8914,0.81697575927861,0.8042757945157158,0.1048403293834103,33.9543,0.1334,5.2435,6.1145,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
DISCO_hPBMCs,gpu,build_100000_eval10k,main,headline,,0.8834,0.7963642032339958,0.7892701611317211,0.1110887502515596,9.5788,0.0552,5.723,6.4312,0.0922,0.0446,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
DISCO_hPBMCs,gpu,predict_100000_10000,main,headline,,0.8883,0.8451989751452612,0.8282357528328793,0.1072361809045225,9.4562,0.0547,5.718,6.5062,0.0922,0.0446,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
HLCA_Core,cpu_core,build_100000_eval10k,main,headline,,0.8713,0.771325111159163,0.7493678341813332,0.1227345952476842,33.7811,0.096,5.105,6.1415,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
HLCA_Core,cpu_core,predict_100000_10000,main,headline,,0.8779,0.7578196404934759,0.7690047300256784,0.1156442026795607,36.6427,0.1272,5.1077,5.2427,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
HLCA_Core,gpu,build_100000_eval10k,main,headline,,0.871,0.7616230606276972,0.7487163026377198,0.1214444220294532,8.416,0.1137,5.5698,6.8051,0.0846,0.045,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
HLCA_Core,gpu,predict_100000_10000,main,headline,,0.8729,0.7538766228844989,0.7385998709271958,0.1190836613179937,7.9905,0.0574,5.5612,6.757,0.0849,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,main,headline,,0.5866,0.6268299470304705,0.6432119035854491,0.3071107961256791,37.6296,0.0955,5.362,6.299,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,main,headline,,0.5724,0.6498163693737028,0.6747696215642741,0.3200285103349964,36.6934,0.1281,5.3672,6.4392,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,main,headline,,0.5904,0.6510108191264689,0.6703135017397137,0.3316730812768848,9.6157,0.0577,5.857,6.5884,0.0926,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,main,headline,,0.5791,0.6505651076532692,0.668168591509851,0.3557681610857715,9.5201,0.0563,5.8058,6.174,0.0855,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
Vento,cpu_core,build_50000_eval10k,supplementary,supplementary,,0.9235,0.8964943789979851,0.8693108687135889,0.0722322684348001,14.1481,0.1201,3.1602,3.6444,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
