dataset,stage,variant,point,finest_level_macro_f1,full_path_accuracy,coverage,parent_correct_child_wrong_rate,dataset_role
PHMap_Lung_Full_v43_light,phase2_screen,lv4strong_baseline,predict_100000_10000,0.5657567769483619,0.472,0.792,,primary_positive_case
PHMap_Lung_Full_v43_light,phase2_screen,lv4strong_plus_both,predict_100000_10000,0.5211839283316936,0.3844,0.8091,,primary_positive_case
PHMap_Lung_Full_v43_light,phase2_screen,lv4strong_plus_class_balanced_sampling,predict_100000_10000,0.5757063859258301,0.4476,0.8758,,primary_positive_case
PHMap_Lung_Full_v43_light,phase2_screen,lv4strong_plus_class_weight,predict_100000_10000,0.5876302081046875,0.4437,0.7714,,primary_positive_case
PHMap_Lung_Full_v43_light,phase4_hotspot_refinement,baseline,predict_100000_10000,0.5913747654079556,0.4443,0.8404,0.1175,primary_positive_case
PHMap_Lung_Full_v43_light,phase4_hotspot_refinement,hotspot_thresholding,predict_100000_10000,0.5742349132187998,0.43,0.8122,0.1318,primary_positive_case
PHMap_Lung_Full_v43_light,phase4_hotspot_refinement,hotspot_temperature_scaling,predict_100000_10000,0.581126682303463,0.4379,0.8272,0.1239,primary_positive_case
PHMap_Lung_Full_v43_light,phase4_hotspot_refinement,hotspot_thresholding_plus_temperature,predict_100000_10000,0.5593718206964597,0.4193,0.7936,0.1426,primary_positive_case
PHMap_Lung_Full_v43_light,phase5_parent_conditioned,baseline,predict_100000_10000,0.5913747654079556,0.4443,0.8404,0.1175,primary_positive_case
PHMap_Lung_Full_v43_light,phase5_parent_conditioned,parent_conditioned_reranker,predict_100000_10000,0.6021965166599931,0.463,0.884,0.0985,primary_positive_case
HLCA_Core,weight_confirmation,mild_lv5,build_100000_eval10k,0.6461054511426848,0.8291,0.9723,,secondary_validation_case
HLCA_Core,weight_confirmation,strong_lv5,build_100000_eval10k,0.6351745507137376,0.8298,0.9671,,secondary_validation_case
HLCA_Core,weight_confirmation,uniform,build_100000_eval10k,0.6509931551081501,0.831,0.969,,secondary_validation_case
HLCA_Core,weight_confirmation,mild_lv5,predict_100000_10000,0.687933315937717,0.819,0.9703,,secondary_validation_case
HLCA_Core,weight_confirmation,strong_lv5,predict_100000_10000,0.6755306247276095,0.8179,0.9636,,secondary_validation_case
HLCA_Core,weight_confirmation,uniform,predict_100000_10000,0.6887323609459964,0.8239,0.9678,,secondary_validation_case
HLCA_Core,auto_reranker_validation,auto_parent_conditioned_reranker,build_100000_eval10k,0.6540643574874399,0.8266,0.9871,0.036,secondary_validation_case
HLCA_Core,auto_reranker_validation,baseline,build_100000_eval10k,0.6509931551081501,0.831,0.969,0.0318,secondary_validation_case
HLCA_Core,auto_reranker_validation,auto_parent_conditioned_reranker,predict_100000_10000,0.6930154542745182,0.82,0.9885,0.0371,secondary_validation_case
HLCA_Core,auto_reranker_validation,baseline,predict_100000_10000,0.6887323609459964,0.8239,0.9678,0.0334,secondary_validation_case
