dataset,seed,variant_name,group_type,group,finest_level_macro_f1,full_path_accuracy,parent_correct_child_wrong_rate
PHMap_Lung_Full_v43_light,101,baseline,study,Jonas_Schupp_2021,0.0,0.0,0.0
PHMap_Lung_Full_v43_light,101,baseline,study,Slaven_Crnkovic_2022,0.6596721622935721,0.6652599271053137,0.1503932476501055
PHMap_Lung_Full_v43_light,101,baseline,study,Tijana_Tuhy_2025,0.5663321152082713,0.6189127972819932,0.1630804077010192
PHMap_Lung_Full_v43_light,101,reranker_top6,study,Jonas_Schupp_2021,0.0,0.0,0.0
PHMap_Lung_Full_v43_light,101,reranker_top6,study,Slaven_Crnkovic_2022,0.6692826417446142,0.6971033953577594,0.118357951275657
PHMap_Lung_Full_v43_light,101,reranker_top6,study,Tijana_Tuhy_2025,0.56903743289309,0.6285390713476784,0.153454133635334
PHMap_Lung_Full_v43_light,101,reranker_top8,study,Jonas_Schupp_2021,0.0,0.0,0.0
PHMap_Lung_Full_v43_light,101,reranker_top8,study,Slaven_Crnkovic_2022,0.6703784406310277,0.7017072702858239,0.1137540763475925
PHMap_Lung_Full_v43_light,101,reranker_top8,study,Tijana_Tuhy_2025,0.5713626642036278,0.6409966024915063,0.1409966024915062
PHMap_Lung_Full_v43_light,17,baseline,study,Jonas_Schupp_2021,0.0,0.0,0.0
PHMap_Lung_Full_v43_light,17,baseline,study,Slaven_Crnkovic_2022,0.6505610357260889,0.6215231152887013,0.1920199501246882
PHMap_Lung_Full_v43_light,17,baseline,study,Tijana_Tuhy_2025,0.5386110748500397,0.6064552661381654,0.1874292185730464
PHMap_Lung_Full_v43_light,17,reranker_top6,study,Jonas_Schupp_2021,0.0,0.0,0.0
PHMap_Lung_Full_v43_light,17,reranker_top6,study,Slaven_Crnkovic_2022,0.6702777567943069,0.6848263955495876,0.1283330136197966
PHMap_Lung_Full_v43_light,17,reranker_top6,study,Tijana_Tuhy_2025,0.5555781251408195,0.6251415628539071,0.1687429218573046
PHMap_Lung_Full_v43_light,17,reranker_top8,study,Jonas_Schupp_2021,0.0,0.0,0.0
