seed,point,hierarchy_setting,variant_name,anno_lv4_macro_f1,anno_lv4_balanced_accuracy,anno_lv4_coverage,anno_lv4_unknown_rate,full_path_accuracy,full_path_coverage,mean_path_consistency_rate,parent_correct_child_wrong_rate,path_break_rate,delta_vs_baseline_anno_lv4_macro_f1,delta_vs_baseline_anno_lv4_balanced_accuracy,delta_vs_baseline_anno_lv4_coverage,delta_vs_baseline_anno_lv4_unknown_rate,delta_vs_baseline_full_path_accuracy,delta_vs_baseline_full_path_coverage,delta_vs_baseline_mean_path_consistency_rate,delta_vs_baseline_parent_correct_child_wrong_rate,delta_vs_baseline_path_break_rate,delta_vs_reranker_anno_lv4_macro_f1,delta_vs_reranker_anno_lv4_balanced_accuracy,delta_vs_reranker_anno_lv4_coverage,delta_vs_reranker_anno_lv4_unknown_rate,delta_vs_reranker_full_path_accuracy,delta_vs_reranker_full_path_coverage,delta_vs_reranker_mean_path_consistency_rate,delta_vs_reranker_parent_correct_child_wrong_rate,delta_vs_reranker_path_break_rate,source_round,dataset,branch_status
101,predict_100000_10000,on,baseline,0.5960537349417219,0.6001375527954171,0.7889,0.2111,0.4561,0.7702,1.0,0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,phase6b,PHMap_Lung_Full_v43_light,research_branch
101,predict_100000_10000,on,reranker_top6,0.5850083783824827,0.6206078254503963,0.9109,0.0891,0.4744,0.8903,1.0,0.0888,0.0,-0.0110453565592392,0.0204702726549791,0.122,-0.122,0.0182999999999999,0.1200999999999999,0.0,-0.0184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
101,predict_100000_10000,on,correction_joint,0.581878686192178,0.5782135213645436,0.7822,0.2178,0.4539,0.7662,1.0,0.1075,0.0,-0.0141750487495438,-0.0219240314308735,-0.0067,0.0066999999999999,-0.0021999999999999,-0.004,0.0,0.0002999999999999,0.0,-0.0031296921903046,-0.0423943040858526,-0.1287,0.1286999999999999,-0.0204999999999999,-0.1240999999999999,0.0,0.0186999999999999,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
101,predict_100000_10000,on,correction_frozen_base,0.5879410624585288,0.5913841975617528,0.8096,0.1904,0.4604,0.7904,1.0,0.1029,0.0,-0.008112672483193,-0.0087533552336643,0.0206999999999999,-0.0206999999999999,0.0042999999999999,0.0201999999999999,0.0,-0.0042999999999999,0.0,0.0029326840760461,-0.0292236278886435,-0.1013,0.1013,-0.014,-0.0998999999999999,0.0,0.0141,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
17,predict_100000_10000,on,baseline,0.5818841476155914,0.5798843031111361,0.7778,0.2222,0.4311,0.7618,1.0,0.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,phase6b,PHMap_Lung_Full_v43_light,research_branch
17,predict_100000_10000,on,reranker_top6,0.5865422034957064,0.6155935342032043,0.9042,0.0958,0.4674,0.8861,1.0,0.0967,0.0,0.004658055880115,0.0357092310920681,0.1263999999999999,-0.1264,0.0363,0.1242999999999999,0.0,-0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
17,predict_100000_10000,on,correction_joint,0.5780133846425176,0.5752761434518898,0.7915,0.2085,0.4497,0.774,1.0,0.1096,0.0,-0.0038707629730737,-0.0046081596592463,0.0136999999999999,-0.0137,0.0186,0.0121999999999999,0.0,-0.0236,0.0,-0.0085288188531887,-0.0403173907513144,-0.1127,0.1127,-0.0176999999999999,-0.1120999999999999,0.0,0.0129,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
17,predict_100000_10000,on,correction_frozen_base,0.5849701887470993,0.5826965437371028,0.7921,0.2079,0.4494,0.7753,1.0,0.1149,0.0,0.0030860411315078,0.0028122406259666,0.0142999999999999,-0.0143,0.0183,0.0134999999999999,0.0,-0.0183,0.0,-0.0015720147486071,-0.0328969904661015,-0.1120999999999999,0.1121,-0.0179999999999999,-0.1108,0.0,0.0182,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
2026,predict_100000_10000,on,baseline,0.582737815904619,0.5781603505793257,0.7968,0.2032,0.4375,0.7778,1.0,0.1225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,phase6b,PHMap_Lung_Full_v43_light,research_branch
2026,predict_100000_10000,on,reranker_top6,0.5855767348557965,0.610536521351382,0.8887,0.1113,0.4628,0.868,1.0,0.097,0.0,0.0028389189511774,0.0323761707720563,0.0919,-0.0919,0.0252999999999999,0.0901999999999999,0.0,-0.0254999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase6b,PHMap_Lung_Full_v43_light,research_branch
